tipo,step,semaforo_id,queue_length,veh_id,delay,waiting_time,stops,pos_x,pos_y,speed
vehiculo,17,joinedS_308495840_308495841,,veh6,4.792048814736596,0.0,1.0,1532.7837835251742,123.26462407617079,10.265151200257241
vehiculo,17,308512668,,veh7,2.8086583731830146,0.0,1.0,1862.0603699346655,997.3328334482052,9.311483236728234
vehiculo,17,308495742,,veh9,0.8468720519966837,0.0,1.0,1486.3037854787738,1145.3830635738684,2.2084092754404994
semaforo,17,308495742,0.0,,,,,,,
semaforo,17,308512653,0.0,,,,,,,
semaforo,17,308512659,0.0,,,,,,,
semaforo,17,308512668,0.0,,,,,,,
semaforo,17,308512669,0.0,,,,,,,
semaforo,17,308512670,0.0,,,,,,,
semaforo,17,308512701,0.0,,,,,,,
semaforo,17,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,17,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,18,joinedS_308495840_308495841,,truck1,5.213352907482015,0.0,0.0,1936.4354844122086,300.79006582352974,8.401699502088576
vehiculo,18,308512670,,truck2,6.0021614351081585,0.0,1.0,1502.411208057585,693.0087190182544,8.726183294842485
vehiculo,18,308495742,,truck4,0.9659920124022889,0.0,1.0,1653.7498914166815,1274.568646564776,0.8799326014355757
vehiculo,18,308495742,,veh1,3.4236147664789964,0.0,0.0,2010.862721366873,1235.3850978187877,13.448647889303789
vehiculo,18,308512653,,veh10,0.8360106006250945,0.0,1.0,881.891250323662,962.6430556738679,1.527348724915646
vehiculo,18,308512659,,veh2,0.0,0.0,1.0,255.856888498943,449.5615148229951,6.763853475341848
vehiculo,18,joinedS_308495840_308495841,,veh3,2.6058390846512935,0.0,0.0,1781.598235738562,56.091780513889105,10.602021983231031
vehiculo,18,joinedS_308495840_308495841,,veh4,3.6270139768362117,0.0,1.0,1940.8376410958872,246.22004480083137,15.727944502618925
vehiculo,18,308495742,,veh5,0.6809720087818576,0.0,1.0,1558.3041547680211,1217.3051355106718,7.4570223049707405
vehiculo,18,joinedS_308495840_308495841,,veh6,5.393336882719698,0.0,1.0,1520.6090028931349,124.25859966126644,12.217067870986646
